WWTP Name,Pixel Count,Stream Length (m)
Hikstep,544,17661.04
El Shorouk,974,30901.22
Orosqualia,5257,176528.93
Badr,1103,35323.61
Madinaty,1085,35308.97
New Capital Water Treatment Facilities,94,3195.03
South October,1766,52971.92
Western October,4156,132416.33
El-Gabal El-Asfar ,4787,159821.39
Kilo 26 plant,37,1186.46
Maraqia,27,782.28
Marabila,13,450.22
Borg Al Arbab (METITO),31,1183.48
El Mansoura ,214,7061.36
Matrouh  kilo 10,264,8730.93
Matrouh  extention kilo 10,266,8744.24
Kilo 97 in Marina,187,5305.59
Kilo 102 in Marina,273,7959.53
Sarabium,353,11088.09
Fayed,85,2828.01
hawd aldars,13,384.02
Sadat oxidation ponds,1826,61788.26
SEKEM Farm 
wastewater reuse project,2,39.56
Byad Alearab,390,13256.94
New Beni Suef,813,29140.83
Abo Dahoum,65,2543.00
Ras Sidr,54,1786.92
Toor sinai 1,221,7140.20
Toor sinai 2,112,3555.21
Sharm El-Shaikh,156,5399.21
Dahab,49,1783.17
Saint Catherine,2,39.83
South Sinai Co.,66,2236.85
Decentralized s (n:150, from 200 to 400 m3/d),131,4561.26
Sharm El-Sheikh Airport ,53,1794.77
Golf Sinai ,78,2662.40
Al Shabab Desalination and Water Treatment Facilities,37,1066.98
Dahab decentralized WWTPs,20,637.39
Al Montazah Desalination Plant,128,4441.39
Mechanical Bir Al-Abed,33,974.05
industrial city of menya,108,3534.41
Arab almadabigh 70000 m 3 / day,2408,79452.77
Monira,12,443.30
Kharga,309,10598.90
Kharga Extensions,546,17674.28
Moot,395,15887.37
Alraashida,14,523.97
Sohag East (Cola),1036,33576.53
Old West Sohag ,511,17674.79
New West Sohag ,730,24751.77
Tahta,923,30922.46
Gerga,481,15911.35
Tama,161,5308.14
Alhajarsa,28,885.12
Aurabat Abo aldahab,147,5104.34
Qena (Salhia),635,22072.84
Qena Salhia extentions,1297,44149.69
Qous,409,13248.94
Kom aldabae,39,1237.89
Al Habil (second stage),532,17660.86
Al Habil (Third stage),893,30895.14
New Habil (Fourth Stage),270,8827.92
Al-Rawajih,52,1782.46
Armant,298,9721.18
Tiba 1,127,4438.94
Tiba 2,50,1794.91
Al - Allaqi,153,5172.20
Sahary ,79,2667.80
Balana,1534,50309.13
Al-Maliki,106,3548.83
Alhajir,30,918.36
Alhajir extentions,346,11503.01
Salwa,86,2676.98
Albasilia and alqanan,27,912.88
Kalih algabal,63,2126.75
Hurghada,308,10027.34
El-Kousear,650,23847.53
